land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,966,GFO Kliniken Südwestfalen,St. Josefs-Hospital,Uferstr.,7,57368,Lennestadt,Uferstr. 7 57368 Lennestadt Germany
05,966,GFO Kliniken Südwestfalen,St. Martinus-Hospital,Hospitalweg,6,57462,"Olpe, Biggesee","Hospitalweg 6 57462 Olpe, Biggesee Germany"
05,970,Klinik Wittgenstein,Klinik Wittgenstein,Sählingstraße,60,57319,Bad Berleburg,Sählingstraße 60 57319 Bad Berleburg Germany
05,970,VAMED Klinik Bad Berleburg,VAMED Klinik Bad Berleburg,An der Gontardslust,7,57319,Bad Berleburg,An der Gontardslust 7 57319 Bad Berleburg Germany
05,970,Diakonie Klinikum GmbH,Diakonie Klinikum Bethesda Freudenberg,Euelsbruchstraße,39,57258,"Freudenberg, Westfalen","Euelsbruchstraße 39 57258 Freudenberg, Westfalen Germany"
05,970,Klinik Wittgenstein,Tagesklinik Netphen,Untere Industriestraße,20,57250,Netphen,Untere Industriestraße 20 57250 Netphen Germany
05,970,Diakonie Klinikum GmbH,Diakonie Klinikum Jung-Stilling Siegen,Wichernstraße,40,57074,Siegen,Wichernstraße 40 57074 Siegen Germany
05,970,DRK-Kinderklinik Siegen gGmbH,DRK Kinderklinik gGmbH,Wellersbergstraße,60,57072,Siegen,Wellersbergstraße 60 57072 Siegen Germany
05,970,DRK-Kinderklinik Siegen gGmbH,DRK Kinderklinik gGmbH Perinatalzentrum,Wichernstraße,40,57074,Siegen,Wichernstraße 40 57074 Siegen Germany
05,970,Kreisklinikum Siegen gGmbH,Tagesklinik Psychiatrie,Grube Neue Haardt,1,57072,Siegen,Grube Neue Haardt 1 57072 Siegen Germany
05,970,Kreisklinikum Siegen gGmbH,Kreisklinikum Siegen gGmbH,Weidenauer Straße,76,57076,Siegen,Weidenauer Straße 76 57076 Siegen Germany
05,970,Kreisklinikum Siegen gGmbH,Standort Wellersbergstraße,Wellersbergstraße,60,57072,Siegen,Wellersbergstraße 60 57072 Siegen Germany
05,970,St. Marien-Krankenhaus Siegen,St. Marien-Krankenhaus Siegen,Kampenstraße,51,57072,Siegen,Kampenstraße 51 57072 Siegen Germany
05,974,Dreifaltigkeits-Hospital gGmbH,Marien-Hospital Erwitte,Von-Droste-Straße,14,59597,Erwitte,Von-Droste-Straße 14 59597 Erwitte Germany
05,974,Dreifaltigkeits-Hospital gGmbH,"Hospital zum Hl. Geist, Geseke",Bachstraße,76,59590,Geseke,Bachstraße 76 59590 Geseke Germany
05,974,Hospital zum Hl. Geist gGmbH,Hospital zum Hl. Geist Geseke,Bachstraße,76,59590,Geseke,Bachstraße 76 59590 Geseke Germany
05,974,Dreifaltigkeits-Hospital gGmbH,Dreifaltigkeits-Hospital Lippstadt,Klosterstraße,31,59555,Lippstadt,Klosterstraße 31 59555 Lippstadt Germany
05,974,Ev. Krankenhaus Lippstadt,Ev. Krankenhaus Lippstadt,Wiedenbrücker Straße,33,59555,Lippstadt,Wiedenbrücker Straße 33 59555 Lippstadt Germany
05,974,LWL-Klinik Lippstadt,LWL-Klinik Lippstadt/Tagesklinik Psychiatrie Lippstadt,Am Nordbahnhof,15,59555,Lippstadt,Am Nordbahnhof 15 59555 Lippstadt Germany
